id;name;description;price;info;misc;url;lat;lng
1;Mango Discobar;Nightclub;$$;Saaristonkatu 16;Okay for studentparties. Music is quite loud.;https://www.ravintola.fi/ravintola/mango-discobar/;65.0101179;25.4715299
2;45 Special;Nightclub & Restaurant;$$;Saaristonkatu 12;Rock bar with three floors. Has good pub food and student discounts.;https://www.45special.com/;65.0130029;25.4622415
3;Pataässä;Bar & Nightclub;$$;Pakkahuoneenkatu 7;Karaoke bar.;https://www.karaokebar.net/pataassaoulu;65.0134944;25.468972
4;Ilona;Nightclub;$$;Torikatu 21-23;A general nightclub.;https://www.ilonaoulu.fi/;65.0109662;25.4670806
5;Yöhuikka;Nightclub;$$;Asemakatu 20;LGBT-friendly, fun club. Drinks are good and music is very good to dance to.;http://www.yohuikka.fi/;65.012242;25.4801114
6;Kaarlehovi;Bar & Nightclub;$$;Kauppurienkatu 6;Only one way to find out.;https://kaarlenholvi.fi/;65.0127114;25.4664926
7;Ihku;Nightclub;$$;Torikatu 22;A chain karaoke bar with Finn pop gigs.;https://www.barihku.fi/;65.0120435;25.4675264
8;Teerenpeli;Bar;$$;Kauppurienkatu 8;A chain bar with their own brews.;https://www.teerenpeli.com/fi/Ravintolat/Oulu-Teerenpeli;65.0123731;25.467648
9;Snooker Time;Pub & Bar;$;Asemakatu 28;A bar & pub. A place filled with culture and cultural people. Oh, and snooker tables.;http://snookertime.net/;65.0117815;25.4818017
10;Letkunpuiston Helmi;Pub & Bar;$;Uusikatu 23;"A mini Snooker Time. Doesn't have any snooker tables, so I guess you could call this place ""time""?";https://www.tulikuuma.fi/restaurant/pub-club-letkunpuiston-helmi/;65.0083447;25.4705897
11;St. Michael;Pub & Bar;$$;Hallituskatu 13;The local Irish pub/bar with one of the largest collections of whiskeys in Europe.;http://www.stmichael.fi/;65.0127425;25.4754993
12;Amarillo;Bar & Restaurant;$$;Kirkkokatu 15;Super delicious cocktails!;https://www.raflaamo.fi/fi/ravintola/oulu/amarillo-oulu;65.0123982;25.4719751
13;Hemingway;Bar;$$;Kirkkokatu 8;It's self explatory, don't you think?;https://www.hemingways.fi/ravintolat/rotuaari;65.0124121;25.4708748
14;1bar;Bar;$$;Kauppurienkatu 5;A chill out place with unique cocktails.;https://1bar.fi/;65.0128266;25.4669431
15;Basso;Nightclub;$$;Uusikatu 20;"Cousin of 45 Special with it's own speciality in synthesized (alert for boomers: ""newer"") music.";https://www.bassoclub.fi/;65.013;25.4769869
