id;name;description;price;info;misc;url;lat;lng
1;Pikku Panda Teahouse and Teashop;Tea and dumplings;$$;Kirkkokatu 22;Delicious dumplings and amazing selection tea;https://www.pikkupanda.fi/;65.0093588;25.4662337
2;Fantasiapelit;Tabletop games, manga and comicbooks;$$;Rautatienkatu 10;Good source of games, manga and comicbooks;https://www.fantasiapelit.com/;65.0111631;25.4823308
3;Aasia Market;Large selection of Asian food items;$;Asemakatu 32;Great selection different Asian products, ie. noodles, sauces and spices;https://www.aasiamarket.fi/en/main-page/;65.0114257;25.4826911
4;Chocosomnia;Candy;$$;Isokatu 28;Locally made chocolate;https://www.aasiamarket.fi/en/main-page/;65.0109638;25.4712239
5;Karkkipäivä (Valkea);Candy;$$;Isokatu 25;Candyshop in Valkea. Big selection of different candies.;https://karkkipaiva.fi/;65.0111096;25.4736108
6;Turun Sarjakuvakauppa (Valve);Comicbooks;$$;Hallituskatu 7;Comicbooks from small publishers and artists;https://www.sarjakuvakauppa.fi/;65.0117481;25.4781738
7;Underground;Gothic and rockabilly clothing;$$$;Hallituskatu 29;This is where you can buy lot of goth and rockabilly clothes. Carries brands like Killstar, Hellbunny, Banned and Hearts%Roses.;https://www.undergroundstore.fi/;65.011532;25.4798993
8;Cybershop;Gothic, punk and rockclothing. LGBT-items;$$;Kauppurienkatu 13;You can find some alternative clothing here. Carries ie. Restyle. Good source of LGBT- goods;https://www.cybershop.fi/;65.0117367;25.4707318
9;Pilailupuoti;Costumes;$$;Kauppurienkatu 34;Costumes, specialty lenses and cosmetics. ;https://www.pilailupuoti.com/etusivu-laatikot/;65.009523;25.4780284
10;Levykauppa Äx;Music store;$;Hallituskatu 29 B;New and used CDs and LPs. ;https://www.levykauppax.fi/;65.011532;25.4798993
11;Suomalainen Kirjakauppa (Valkea);Books, arts equipment and office equipment;$$;Isokatu 24-25;Books, paints, brushes and office stuff. Also some puzzles!;https://www.suomalainen.com/pages/oulu?gclid=EAIaIQobChMIjPagk9Sy9wIV5USRBR0BdwKvEAAYASAAEgIwNvD_BwE;65.0114598;25.4718767
12;SPR Kontti;Second Hand Shop;$;Tyrnäväntie 14;They give their profit to Finnish Red Cross. You can find clothes, furniture and household goods.;https://sprkontti.fi/oulun-kontti;64.9951222;25.4582384
