<<<<<<< HEAD
﻿ID;NAME;DESCRIPTION;PRICE;INFO;MISC;WEBSITE;FOREIGN KEY
1;Police Office City center;Police services;;Kirkkokatu 13;Passports, ID-cards, you name it.;https://poliisi.fi/en/frontpage;
2;KELA;bureaucratic nightmare;;Sepänkatu 18;Welfare instance. You pay the YTHS healthcare fee here.;https://www.kela.fi/web/en;
3;OP-bank;Bank services;;Isokatu 14;Main office of the OP bank branch. Banks card can hold your Plussa-account.;https://www.op.fi/home-page;
4;S-Pankki;Bank services;;Isokatu 25;Downtown office of the S-Pankki bank branch. Bank cards hold your S-account. Located in Valkea.;https://www.s-pankki.fi/;
5;Nordea Bank;Bank services;;Kirkkokatu 6;Main office of the Nordea bank branch.;https://www.nordea.fi/en/;
6;Linnanmaa Campus;University and University of Applied Sciences;;Pentti Kaiteran katu 1;OUS and Oulu University campuses, administration etc.;https://www.oulu.fi/en/university/campuses;
7;Kontinkangas Campus;University and University of Applied Sciences;;Kiviharjuntie 4;Kontinkangas Campus;;
8;PPSHP (Hospital) Oulu University Hospital;Main Hospital;;Kajaanintie 50;Oulu University hospital & Emergency room. For non-urgent matters students should use the YTHS-service.;;
9;Kontinkangas Health Center;Local Health Center for citizens;;Kajaanintie 46A;The main healthcare center for citizens of Finland.;;
10;Dentopolis;Dentist;;Aapistie 3;A dental campus with dentist services.;;
11;Digi- ja Väestövirasto;Magistrate / Digital and Population Data Services Agency;;Isokatu 4;Magistrate and notary services. Also foreign nationals register here.;https://dvv.fi/en/individuals;
12;TE toimisto;Employement office;;Uusikatu 52;Office for unemployment services;;
13;YTHS;Student healthcare services;;Yliopistokatu 1;Healthcare services for students.;;
14;Oulu 10 (City of Oulu);Service point of Oulu;;Saaristonkatu 8;You can get advice and guidance from Oulu10 regarding all the services of the City of Oulu;;
=======
﻿ID;NAME;DESCRIPTION;PRICE;INFO;MISC;WEBSITE;FOREIGN KEY
1;Police Office City center;Police services;;Kirkkokatu 13;Passports, ID-cards, you name it.;https://poliisi.fi/en/frontpage;
2;KELA;bureaucratic nightmare;;Sepänkatu 18;Welfare instance. You pay the YTHS healthcare fee here.;https://www.kela.fi/web/en;
3;OP-bank;Bank services;;Isokatu 14;Main office of the OP bank branch. Banks card can hold your Plussa-account.;https://www.op.fi/home-page;
4;S-Pankki;Bank services;;Isokatu 25;Downtown office of the S-Pankki bank branch. Bank cards hold your S-account. Located in Valkea.;https://www.s-pankki.fi/;
5;Nordea Bank;Bank services;;Kirkkokatu 6;Main office of the Nordea bank branch.;https://www.nordea.fi/en/;
6;Linnanmaa Campus;University and University of Applied Sciences;;Pentti Kaiteran katu 1;OUS and Oulu University campuses, administration etc.;https://www.oulu.fi/en/university/campuses;
7;Kontinkangas Campus;University and University of Applied Sciences;;Kiviharjuntie 4;Kontinkangas Campus;;
8;PPSHP (Hospital) Oulu University Hospital;Main Hospital;;Kajaanintie 50;Oulu University hospital & Emergency room. For non-urgent matters students should use the YTHS-service.;;
9;Kontinkangas Health Center;Local Health Center for citizens;;Kajaanintie 46A;The main healthcare center for citizens of Finland.;;
10;Dentopolis;Dentist;;Aapistie 3;A dental campus with dentist services.;;
11;Digi- ja Väestövirasto;Magistrate / Digital and Population Data Services Agency;;Isokatu 4;Magistrate and notary services. Also foreign nationals register here.;https://dvv.fi/en/individuals;
12;TE toimisto;Employement office;;Uusikatu 52;Office for unemployment services;;
13;YTHS;Student healthcare services;;Yliopistokatu 1;Healthcare services for students.;;
14;Oulu 10 (City of Oulu);Service point of Oulu;;Saaristonkatu 8;You can get advice and guidance from Oulu10 regarding all the services of the City of Oulu;;
>>>>>>> 550bbd906bbbd5ac418600d87a59503b3ef23b87
