ID;NAME;DESCRIPTION;PRICE;INFO;MISC;FOREIGN KEY
1;Mango Discobar;Nightclub;;Saaristonkatu 16;;
2;45 Special;Nightclub & Restaurant;;Saaristonkatu 12;;
3;Pataässä;Bar & Nightclub;;Pakkahuoneenkatu 7;;
4;Ilona;Nightclub;;Torikatu 21-23;;
5;Hot Night Disco;Nightclub ;;;;
6;Yöhuikka;Nightclub;;Asemakatu 20;;
7;Kaarlehovi;Bar & Nightclub;;Kauppurienkatu 6;;
8;Ihku;Nightclub;;Torikatu 22;;
9;Teerenpeli;Bar;;Kauppurienkatu 8;;
10;Snooker Time;Pub & Bar;;Asemakatu 28;;
11;Letkunpuiston Helmi;Pub & Bar;;Uusikatu 23;;
12;St. Michael;Pub & Bar;;Hallituskatu 13;;
13;Amarillo;Bar & Restaurant;;Kirkkokatu 15;;
14;Hemingway;;;Kirkkokatu 8;;
15;1bar;;;Kauppurienkatu 5;;
16;Basso;Nightclub;;Uusikatu 20;;
