ID;NAME;DESCRIPTION;PRICE;INFO;MISC;WEBSITE;FOREIGN KEY
1;Rooster;Burgers;;Torikatu 26;;;
2;Tuba;Burgers and pizza;;Mannenkatu 2;;;
3;Kauppuri 5;Burgers;;Kauppurienkatu 5;;;
4;Noodle Bar 9, Downtown;Thai Restaurant;$$;Hallituskatu 9;;;
5;Noodle Bar 9, Tuira;Thai Restaurant;$$;Merikoskenkatu 9;;;
6;Zivago;;;Kirkkokatu 29;;;
7;45 Special;;;Saaristonkatu 12;;;
8;Amarillo;Burgers and grill;$$;Kirkkokatu 15;;;
9;Garam Masala;Indian Restaurant;$$;Kajaaninkatu 27;;;
10;Pure Maku;Ramen;$$;Pakkahuoneenkatu 5;;;
11;Da Mario;Pizza;$$;Torikatu 24;;;
12;Da Max;Pizza and kebab;$$;Kauppurienkatu 5;;;
13;Itsudemo;Sushi;$$;Uusikatu 26;;;
14;Café Aitta9;Restaurant;;Aittatori 9;;;
15;Uleåborg;Restaurant;;Aittatori 4-5;;;
16;Juvenes Café Hub;Restaurant;;Erkki Koiso-Kanttilan katu;;;
